,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_amberheard,hash_australia,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_johnnydepp,hash_trending,hash_viral
6,AU,7098984704086461697,1652861180,3 back to back pregnancies has me done! At least Chasey now has a little best friend! #pregnancy #pregnancyjourney #irishtwins #fail #mumsoftiktok #mumlife #2under2 #viral #parenting #postpartum #woops #humor #funny #viral #fy #fyp,6872916544277939206,The Harris Family ☀️,"Allanah & Brock 
All things mum life 💖
Insta: Allanah___
📧 DM to collab",0,False,https://m.tiktok.com/v/7098984704086461697.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098984704086461697&source=h5_m,13603065,7531,14158,8371,1615083,7042873489803479855,7042873489803479855,72,7042873489803479855,Thats What I want (Contains music from: THATS WHAT I WANT - Lil Nas X),"Contains music from: ""THATS WHAT I WANT""",6.881232719301707e+18,mafraud,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7042873499983153966.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b1be878412f9aed57baf3d3dc7d7afdf.json,False,False,Lil Nas X,THATS WHAT I WANT,Thats What I want (Contains music from: THATS WHAT I WANT - Lil Nas X),"Contains music from: ""THATS WHAT I WANT""",[],0,0,Australia,#pregnancy #pregnancyjourney #irishtwins #fail #mumsoftiktok #mumlife #2under2 #viral #parenting #postpartum #woops #humor #funny #viral #fy #fyp,0,0,0,0,1,1,0,0,0,2
7,US,7101398748927921413,1653423243,Reply to @madisonmairie  an udderly unnecessary commercial #filmtok #epiccommercial #videography #videographer #milk,6738845502135108614,Grace Wells,"making epic commercials for random objects.
dm me on instagram! ↑
VIDEO COURSE ↓",0,False,https://m.tiktok.com/v/7101398748927921413.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101398748927921413&source=h5_m,8424716,5812,3495,4538,1300215,7101398744859446021,7101398744859446021,72,7101398744859446021,original sound - gracewellsphoto (Contains music from: The Lights - Instrumental Version - ATELLER),"Contains music from: ""The Lights - Instrumental Version""",6.738845502135109e+18,Grace Wells,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101398744247143173.mp3,,False,False,ATELLER,The Lights - Instrumental Version,original sound - gracewellsphoto (Contains music from: The Lights - Instrumental Version - ATELLER),"Contains music from: ""The Lights - Instrumental Version""",[],0,0,Australia,#filmtok #epiccommercial #videography #videographer #milk,0,0,0,0,0,0,0,0,0,0
0,AU,7102380230978948353,1653651762,Nearly passed out showing off the dogs 🐶 #fyp #foryou #foryoupage #thedogs,7004340303150826501,Fanta pantz,Get me to the top of the sound and you'll get a surprise 😉,0,False,https://www.tiktok.com/@fanta_pantzz/video/7102380230978948353?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102380230978948353&source=h5_m,6381781,18188,15749,23676,739800,7072756285149563649,7072756285149563649,24,7072756285149563649,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",6.976755863927686e+18,aypiks,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072756285778692866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd8ee86f0ce6e10e634ac00f80c9e7de.json,False,False,Lil.Man,6 Legendary Spoons,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",[],0,0,Australia,#fyp #foryou #foryoupage #thedogs,0,0,1,1,0,1,0,0,0,0
1,AU,7095950692220734721,1652154770, ,6940849631869993986,Stanley Rosenberg370,,0,False,https://www.tiktok.com/@stanleyrosenberg0/video/7095950692220734721?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095950692220734721&source=h5_m,1858308,3459,18366,4267,80129,7072167424199723777,7072167424199723777,24,7072167424199723777,original sound - buqicrew_official (Contains music from: Sea Shanty Medley - Home Free),"Contains music from: ""Sea Shanty Medley""",6.575710664488354e+18,buqicrew_official,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072167398815714050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a5ef2e16f5acdfe37db3fda872370ffa.json,False,False,Home Free,Sea Shanty Medley,original sound - buqicrew_official (Contains music from: Sea Shanty Medley - Home Free),"Contains music from: ""Sea Shanty Medley""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
2,US,7103231392724765998,1653849940,#stitch with @rileyhubatka 4K,6718275242529620998,Bryce Hall,"this kid can’t be stopped
email: bryce@panthertalent.com",0,False,https://www.tiktok.com/@brycehall/video/7103231392724765998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103231392724765998&source=h5_m,1925825,821,334,408,349379,7103231365511940906,7103231365511940906,72,7103231365511940906,original sound - brycehall,Bryce Hall,6.718275242529621e+18,Bryce Hall,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103231398349179690.mp3,,False,False,,,,,[],0,0,Australia,#stitch,0,0,0,0,0,0,0,0,0,0
3,GB,7095378931150261509,1652021648,my face😭 #squats #gymtok #gymfail #fyp,6528059910125523968,kasia,"🦋🌱✨
@aybl support code - KATFIT",0,False,https://www.tiktok.com/@kat.jp/video/7095378931150261509?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095378931150261509&source=h5_m,7960077,941,434,743,1262385,7058463948324767746,7058463948324767746,10033,7058463948324767746,Rocking A Cardigan in Atlanta,lil Shordie Scott,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d9da0664319d4b24961dedcf2cdbbaf2,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8e2785ecb63e4b39b086c3427be6cfae,False,True,,,,,[],0,0,Australia,#squats #gymtok #gymfail #fyp,0,0,0,0,0,1,0,0,0,0
4,JM,7099427498143894790,1652964276,Single fi dayzz bro😭💔#relatablememes #fyp #xyzbca,7067038227626312709,Donique🤸🏿♾💕/DIRTYBODYGOOD😫,"🫶🏽❤️
D🥺",0,False,https://www.tiktok.com/@2antisocial4u/video/7099427498143894790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099427498143894790&source=h5_m,13835377,10417,71101,60955,1591420,7099427476429884165,7099427476429884165,72,7099427476429884165,original sound - 2antisocial4u (Contains music from: Go Around - Saino Freedoni),"Contains music from: ""Go Around""",7.067038227626313e+18,Donique🤸🏿♾💕/DIRTYBODYGOOD😫,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099427473749773062.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/45e0a5787bf9750fb6ed8c43c8c035a9.json,False,False,Saino Freedoni,Go Around,original sound - 2antisocial4u (Contains music from: Go Around - Saino Freedoni),"Contains music from: ""Go Around""",[],0,0,Australia,#relatablememes #fyp #xyzbca,0,0,0,0,0,1,0,0,0,0
5,AU,7092678801137618177,1651392972, ,6752066362447709189,i didn’t mean to haunt you.,"15.
aries and frank are daddy😍
aussie 🇦🇺
👻 tooyloo
follow the ig🗿",0,False,https://www.tiktok.com/@welcomehome_vinyl/video/7092678801137618177?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092678801137618177&source=h5_m,5075476,3513,6068,8237,689053,7002409507103967234,7002409507103967234,10033,7002409507103967234,Swërved It,Yeat & YEAT,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d1a2528f0c8b45de94219ddc4dfc1c6f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/98759b23bd80458d83511a0f9b5b73fa,False,True,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
6,AU,7098478196294683905,1652743250,She trying so hard to get em tears rolling out #justiceforjohnnydepp #foryoupage #amberheard,6531556686698648576,justamermaidliviingonland🧜‍♀,"🇱🇰|🇦🇺
Me tryna figure out wtf I said I was gonna do 2 seconds ago 
Be Kind",0,False,https://www.tiktok.com/@itskaviiiii/video/7098478196294683905?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098478196294683905&source=h5_m,538749,202,369,200,20908,6824595393339214598,6824595393339214598,72,6824595393339214598,GOOBA (Contains music from: GOOBA - 6ix9ine),"Contains music from: ""GOOBA""",6.521775276454581e+18,6ix9ine ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/25381a3578faf4383855dc11678f25c1.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6eff19f2be37d9772864cd80b2bffba6.json,False,False,6ix9ine,GOOBA,GOOBA (Contains music from: GOOBA - 6ix9ine),"Contains music from: ""GOOBA""",[],0,0,Australia,#justiceforjohnnydepp #foryoupage #amberheard,1,0,0,1,0,0,0,0,0,0
7,AU,7100443679537597697,1653200874,#fyp #fypシ #siblings,97216082628747264,Milly :),🇦🇺,0,False,https://www.tiktok.com/@milly_camilleri/video/7100443679537597697?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100443679537597697&source=h5_m,2632890,775,2183,2091,399001,6781515050600368129,6781515050600368129,10033,6781515050600368129,Elevator Music,Bohoman,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2003f56491924450818ef49d6a3701fa,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0816a2c63fb94f4a884bf74597637a6a,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1494178518', 'external_song_key': 'apple_song_id'}]",0,0,Australia,#fyp #fypシ #siblings,0,0,0,0,0,1,1,0,0,0
0,AU,7094764453371088129,1651878577,We both are so broken and don’t know what to do.. #greenscreenvideo  #religous  #foryou #fyp #foryoupage,85740224818860032,Esma Rose Sonmez,"🇧🇬🇹🇷
Insta - ez.sonmez999",0,False,https://www.tiktok.com/@esmarosesonmez/video/7094764453371088129?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094764453371088129&source=h5_m,4975616,18406,10219,47,913151,7069946850211679019,7069946850211679019,72,7069946850211679019,original sound - itsnicksummey,Nick Summey,24956240.0,Nick Summey,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7069946873058020139.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2136f39a4584263f4fa2d8240ce60f98.json,False,False,,,,,[],0,0,Australia,#greenscreenvideo #religous #foryou #fyp #foryoupage,0,0,1,1,0,1,0,0,0,0
1,US,7095843346228202798,1652129774,Two can play that game😜😎 #fyp #couples #couplescomedy #pov #relationships #funny #comedy #imnotabaker #dad #mom #wifeandhusbandcomedy,6760032961770587141,Gesta,"✨thanks for being here

 💫 mostly jokes 

🦋 insta : Gesta.m",0,False,https://www.tiktok.com/@gestamullai/video/7095843346228202798?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095843346228202798&source=h5_m,10587036,2710,9614,10356,1356254,6904164448941345537,6904164448941345537,72,6904164448941345537,original sound - gemmaprice7 (Contains music from: Skin (feat. Chantal) - Alaskan Tapes),"Contains music from: ""Skin (feat. Chantal)""",1.4263615732174029e+17,Gemma,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6904164401557818113.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7b2b4b7293a8dfeab062203060e6a3b7.json,False,False,Alaskan Tapes,Skin (feat. Chantal),original sound - gemmaprice7 (Contains music from: Skin (feat. Chantal) - Alaskan Tapes),"Contains music from: ""Skin (feat. Chantal)""",[],0,0,Australia,#fyp #couples #couplescomedy #pov #relationships #funny #comedy #imnotabaker #dad #mom #wifeandhusbandcomedy,0,0,0,0,1,1,0,0,0,0
2,AU,7092210556836269314,1651283951,I just need 5 minutes 😫 #mumanddaughter #mumlife,53838971864104960,Kat Clark,"🇦🇺 🇵🇭 
Healthy Food • Mum life but with older kids
📧 Kat@thisisamplify.com",0,False,https://www.tiktok.com/@katclark86/video/7092210556836269314?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092210556836269314&source=h5_m,1600206,377,163,388,223640,6946067149249186565,6946067149249186565,72,6946067149249186565,original sound - haileyoutside (Contains music from: Send Me On My Way - Rusted Root),"Contains music from: ""Send Me On My Way""",6.806771119544059e+18,Hailey Terry,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6946067391793220357.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/4190e1be2a19f13482bdd1c27e51f605.json,False,False,Rusted Root,Send Me On My Way,original sound - haileyoutside (Contains music from: Send Me On My Way - Rusted Root),"Contains music from: ""Send Me On My Way""",[],0,0,Australia,#mumanddaughter #mumlife,0,0,0,0,0,0,0,0,0,0
3,GB,7103108486686330118,1653821323,#movies,7093045938542363653,happy_movies.ok,Hello TikTok,0,False,https://www.tiktok.com/@happy_movies.ok/video/7103108486686330118?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103108486686330118&source=h5_m,276163,22,17,92,31373,7103108492990368518,7103108492990368518,72,7103108492990368518,original sound - happy_movies.ok,happy_movies.ok,7.093045938542364e+18,happy_movies.ok,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103108497113434886.mp3,,False,False,,,,,[],0,0,Australia,#movies,0,0,0,0,0,0,0,0,0,0
4,US,7102955424298585387,1653785684,let me get those actually,6613038956660441094,Max Taylor,"YT - Maxtaylorlifts
insta - Maxtaylorlifts 
Twitch - Maxtaylorlifts",0,False,https://www.tiktok.com/@maxtaylorlifts/video/7102955424298585387?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102955424298585387&source=h5_m,875892,440,522,262,157098,6873889942930590470,6873889942930590470,72,6873889942930590470,original sound - laikastudios (Contains music from: Other Father Song - They Might Be Giants),"Contains music from: ""Other Father Song""",6.795355641680807e+18,LAIKA Studios,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6873889889658653446.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/53c6b15cb99f4c076f83f6c41b2ac637.json,False,False,They Might Be Giants,Other Father Song,original sound - laikastudios (Contains music from: Other Father Song - They Might Be Giants),"Contains music from: ""Other Father Song""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
5,AU,7095279051417455873,1651998390,10 cent bottles #recycle #junkie,6613919703016783877,Shak.TV,"here to entertain for your entertainment
Follow Insta & Sub to YouTube",0,False,https://www.tiktok.com/@shak.tv/video/7095279051417455873?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095279051417455873&source=h5_m,2135229,2693,10321,9940,311634,7095279041309362946,7095279041309362946,72,7095279041309362946,original sound - shak.tv,Shak.TV,6.613919703016784e+18,Shak.TV,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7095279026826136322.mp3,,False,False,,,,,[],0,0,Australia,#recycle #junkie,0,0,0,0,0,0,0,0,0,0
6,GB,7095978660548709637,1652161283,the prefer green apples to red #terrariumtok #terrarium #ecosystem #contentcreator #plantsoftiktok,6788069941863416837,Ben Newell,I make terrariums,0,False,https://www.tiktok.com/@worcesterterrariums/video/7095978660548709637?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095978660548709637&source=h5_m,26528440,9533,10886,9510,2237724,6889786503946307586,6889786503946307586,10033,6889786503946307586,ToeJam Jammin' (ToeJam & Earl),Mustin,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/abf5eedf61b94b73928830cc060b3756,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/26a520cb6cc3419a94246b6a7a101031,False,True,,,,,[],0,0,Australia,#terrariumtok #terrarium #ecosystem #contentcreator #plantsoftiktok,0,0,0,0,0,0,0,0,0,0
7,AU,7091219250861460738,1651053144,a humbling reminder for myself that it’s their ocean and I’m just a visitor! I love sharks and this little accident was not the big fellas fault,6798324500859569158,Brodie Moss,Youtuber / Creator at YBS Youngbloods,0,False,https://www.tiktok.com/@ybsbrodie/video/7091219250861460738?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091219250861460738&source=h5_m,16036915,14392,47919,25645,1848514,7091219262232087298,7091219262232087298,72,7091219262232087298,original sound - ybsbrodie,Brodie Moss,6.798324500859569e+18,Brodie Moss,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7091219242485320450.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/70bc984dfa10d47db6adf2142260c8b9.json,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
0,AU,7093799353982242050,1651653870,#greenscreenvideo,6804381968388031494,??,Stop stalking me bruh,0,False,https://m.tiktok.com/v/7093799353982242050.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093799353982242050&source=h5_m,915445,746,552,943,89505,7043552556001446702,7043552556001446702,72,7043552556001446702,original sound - taylorwalsh159 (Contains music from: Fuck It up (feat. Yg) - Kamaiyah),"Contains music from: ""Fuck It up (feat. Yg)""",6.59982146885904e+18,taylorwalsh159,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7043552560225094447.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/440768388ca7e50895f76449d663c239.json,False,False,Kamaiyah,Fuck It up (feat. Yg),original sound - taylorwalsh159 (Contains music from: Fuck It up (feat. Yg) - Kamaiyah),"Contains music from: ""Fuck It up (feat. Yg)""",[],0,0,Australia,#greenscreenvideo,0,0,0,0,0,0,0,0,0,0
1,AU,7100050747319995650,1653109388,#fyp #viral #busker #melbourne #inoxia #americanboy #OscarsAtHome #artistsoftiktok,6734298805179876358,INOXIA,ATTITUDE OUT NOW,0,False,https://m.tiktok.com/v/7100050747319995650.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100050747319995650&source=h5_m,286237,31,7,28,14471,7100050722451933953,7100050722451933953,72,7100050722451933953,original sound - inoxiasounds,INOXIA,6.734298805179876e+18,INOXIA,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7100048380566489857.mp3,,False,False,,,,,[],0,0,Australia,#fyp #viral #busker #melbourne #inoxia #americanboy #OscarsAtHome #artistsoftiktok,0,0,0,0,0,1,0,0,0,1
2,GB,7099806572200709382,1653052536,#fyp #foryou,7068834622764205061,barrylily7,"she/her
💋Follow me 💋",0,False,https://m.tiktok.com/v/7099806572200709382.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099806572200709382&source=h5_m,9916389,1589,486,1611,972967,7090178858808675078,7090178858808675078,72,7090178858808675078,original sound - barrylily7 (Contains music from: La Câlin - Serhat Durmus),"Contains music from: ""La Câlin""",7.068834622764205e+18,barrylily7,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090178873215699717.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e17e70861d85a84d99f1d6ebc39e3e1e.json,False,False,Serhat Durmus,La Câlin,original sound - barrylily7 (Contains music from: La Câlin - Serhat Durmus),"Contains music from: ""La Câlin""",[],0,0,Australia,#fyp #foryou,0,0,1,0,0,1,0,0,0,0
3,US,7099100433066511622,1652888125,This slime felt so soft tho 😭💀 #slime #satisfying #slimestory #storytime #slimestorytime #asmr #crunchy #question,6768072234339845126,slimeglitterz,"🌈SLIME RESTOCK JUNE 11th 6PM GMT🌈
✨Brand Colabs: info@slimeglitterz.com",0,False,https://m.tiktok.com/v/7099100433066511622.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099100433066511622&source=h5_m,5949102,834,121,43,554690,6792647431847675906,6792647431847675906,10033,6792647431847675906,Aesthetic Girl,Yusei,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6665d12b8a6643228a1433996d782c51,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bcb387ddb5c846a8b2585f029bca6027,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1498688181', 'external_song_key': 'apple_song_id'}]",0,0,Australia,#slime #satisfying #slimestory #storytime #slimestorytime #asmr #crunchy #question,0,0,0,0,0,0,0,0,0,0
4,AU,7102339144927431978,1653642201,better than a compliment from any man,6743684095647859717,ally🍑✨,"CERTIFIED TRAINER
check my insta b i o🍑🌶
MY NEW WORKOUT GUIDE⬇️",0,False,https://m.tiktok.com/v/7102339144927431978.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102339144927431978&source=h5_m,3394226,3765,1928,2627,620761,7086207342236207915,7086207342236207915,72,7086207342236207915,original sound - wearecafune (Contains music from: Tek It (Sped Up) - Cafuné),"Contains music from: ""Tek It (Sped Up)""",6.961812931475391e+18,Cafuné,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086207382593866542.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/181a754a5487cb9a516ee69f0a6f0393.json,False,False,Cafuné,Tek It (Sped Up),original sound - wearecafune (Contains music from: Tek It (Sped Up) - Cafuné),"Contains music from: ""Tek It (Sped Up)""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
5,AU,7102324455229099265,1653638776,I tried,6751608305800823814,silk,"melbourne based artist 

edward@bornbredtalent.com",0,False,https://m.tiktok.com/v/7102324455229099265.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102324455229099265&source=h5_m,424222,73,43,73,35837,6984097647284062981,6984097647284062981,72,6984097647284062981,original sound - annelammusic,Anne Lam Music,6.794489984797033e+18,Anne Lam Music,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6984097711607892741.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dcff0bcb8ad5eeb09a594fd60274fe25.json,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
6,US,7103241594773572906,1653852313, ,6916890207787205638,Becca means,"here for the memes and music 
💌 beccameans@fullstopmgmt.com",0,False,https://m.tiktok.com/v/7103241594773572906.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103241594773572906&source=h5_m,297590,323,61,120,47800,7103241555888147246,7103241555888147246,72,7103241555888147246,original sound - beccameans,Becca means,6.916890207787206e+18,Becca means,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103241588935002922.mp3,,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
7,US,7103290641399975214,1653863733,#duet with @caleb.green there’s no way this blew up #fyp #jokes,6996038317965116421,andrea posner,"my account got banned
hey lovieees 🦋🦋🦋
andreaposner10@gmail.com",0,False,https://m.tiktok.com/v/7103290641399975214.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103290641399975214&source=h5_m,520179,134,35,35,72840,7092984503995550510,7092984503995550510,72,7092984503995550510,"use this sound if u like men (Contains music from: Quandale dingle ""The Race"" Freestyle cover - RKsmelly)","Contains music from: ""Quandale dingle ""The Race"" Freestyle cover""",6.925938645232977e+18,Deflixs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092984535792487214.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/dddf73c8bbd83d8ebb9759e5df1aaccf.json,False,False,RKsmelly,"Quandale dingle ""The Race"" Freestyle cover","use this sound if u like men (Contains music from: Quandale dingle ""The Race"" Freestyle cover - RKsmelly)","Contains music from: ""Quandale dingle ""The Race"" Freestyle cover""",[],0,0,Australia,#duet #fyp #jokes,0,0,0,0,0,1,0,0,0,0
0,AU,7102218351694400770,1653614076,My neighbours was watching 😳 #fyp,6666007529615310854,Utahjaz,SP!CY L!NK on my Twitter and Insta 🌶🔗 @utahjazx,0,False,https://m.tiktok.com/v/7102218351694400770.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102218351694400770&source=h5_m,5650386,2451,4780,3889,233345,7092047211189504811,7092047211189504811,72,7092047211189504811,original sound - gutta100_ (Contains music from: Let Her Go - James Bartholomew),"Contains music from: ""Let Her Go""",6.73745095317373e+18,Gutta100,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092047254659468078.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b8d90d260a2bfeea27a167c7ed7783b5.json,False,False,James Bartholomew,Let Her Go,original sound - gutta100_ (Contains music from: Let Her Go - James Bartholomew),"Contains music from: ""Let Her Go""",[],0,0,Australia,#fyp,0,0,0,0,0,1,0,0,0,0
1,AU,7077802326030961922,1647929273,Motto likes u,6781502355729990661,sausysauce,"Syd 📍 
All a joke yea",0,False,https://m.tiktok.com/v/7077802326030961922.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077802326030961922&source=h5_m,7463512,13073,29381,19758,1249763,6751579718845500166,6751579718845500166,72,6751579718845500166,original sound - aussieron,AussieRon,6.6136281332784e+18,AussieRon,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1648337119808534.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ec5cc6ac6360727e2281679ad43e7ac8.json,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
2,SE,7101763630382796037,1653508199,apology accepted | #wildchild #poppymoore #emmaroberts,6943265568888095750,𝐟𝐞𝐥𝐢𝐜𝐢𝐚,thank you for 290k🤍,0,False,https://m.tiktok.com/v/7101763630382796037.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101763630382796037&source=h5_m,9544856,6367,8733,52761,2088377,7101763627799120646,7101763627799120646,72,7101763627799120646,original sound - quicksilvermaximoff,𝐟𝐞𝐥𝐢𝐜𝐢𝐚,6.943265568888096e+18,𝐟𝐞𝐥𝐢𝐜𝐢𝐚,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101763635021630214.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/80073bea3c38a72adae02548eaaeaca2.json,False,False,,,,,[],0,0,Australia,#wildchild #poppymoore #emmaroberts,0,0,0,0,0,0,0,0,0,0
